,ele_1,ele_2,EMD,mend_1,mend_2,mend_diff
2189,Se,Mg,0.21568627450980393,"(93.0, 'Se')","(73.0, 'Mg')",20.0
2190,Mg,Br,0.2647058823529412,"(73.0, 'Mg')","(98.0, 'Br')",25.0
2191,Br,Mg,0.2647058823529412,"(98.0, 'Br')","(73.0, 'Mg')",25.0
2192,Mg,Kr,0.6764705882352942,"(73.0, 'Mg')","(4.0, 'Kr')",69.0
2193,Kr,Mg,0.6764705882352942,"(4.0, 'Kr')","(73.0, 'Mg')",69.0
2194,Mg,Rb,0.6274509803921569,"(73.0, 'Mg')","(9.0, 'Rb')",64.0
2195,Rb,Mg,0.6274509803921569,"(9.0, 'Rb')","(73.0, 'Mg')",64.0
2196,Mg,Sr,0.5686274509803921,"(73.0, 'Mg')","(15.0, 'Sr')",58.0
2197,Sr,Mg,0.5686274509803921,"(15.0, 'Sr')","(73.0, 'Mg')",58.0
2198,Mg,Y,0.5098039215686274,"(73.0, 'Mg')","(25.0, 'Y')",48.0
2199,Y,Mg,0.5098039215686274,"(25.0, 'Y')","(73.0, 'Mg')",48.0
2200,Mg,Zr,0.23529411764705882,"(73.0, 'Mg')","(49.0, 'Zr')",24.0
2201,Zr,Mg,0.23529411764705882,"(49.0, 'Zr')","(73.0, 'Mg')",24.0
2202,Mg,Nb,0.19607843137254902,"(73.0, 'Mg')","(53.0, 'Nb')",20.0
2203,Nb,Mg,0.19607843137254902,"(53.0, 'Nb')","(73.0, 'Mg')",20.0
2204,Mg,Mo,0.16666666666666666,"(73.0, 'Mg')","(56.0, 'Mo')",17.0
2205,Mo,Mg,0.16666666666666666,"(56.0, 'Mo')","(73.0, 'Mg')",17.0
2206,Mg,Tc,0.13725490196078433,"(73.0, 'Mg')","(59.0, 'Tc')",14.0
2207,Tc,Mg,0.13725490196078433,"(59.0, 'Tc')","(73.0, 'Mg')",14.0
2208,Mg,Ru,0.11764705882352941,"(73.0, 'Mg')","(62.0, 'Ru')",11.0
2209,Ru,Mg,0.11764705882352941,"(62.0, 'Ru')","(73.0, 'Mg')",11.0
2210,Mg,Rh,0.09803921568627451,"(73.0, 'Mg')","(65.0, 'Rh')",8.0
2211,Rh,Mg,0.09803921568627451,"(65.0, 'Rh')","(73.0, 'Mg')",8.0
2212,Mg,Pd,0.0784313725490196,"(73.0, 'Mg')","(69.0, 'Pd')",4.0
2213,Pd,Mg,0.0784313725490196,"(69.0, 'Pd')","(73.0, 'Mg')",4.0
2214,Mg,Ag,0.058823529411764705,"(73.0, 'Mg')","(71.0, 'Ag')",2.0
2215,Ag,Mg,0.058823529411764705,"(71.0, 'Ag')","(73.0, 'Mg')",2.0
2216,Mg,Cd,0.0196078431372549,"(73.0, 'Mg')","(75.0, 'Cd')",2.0
2217,Cd,Mg,0.0196078431372549,"(75.0, 'Cd')","(73.0, 'Mg')",2.0
2218,Mg,In,0.06862745098039216,"(73.0, 'Mg')","(79.0, 'In')",6.0
2219,In,Mg,0.06862745098039216,"(79.0, 'In')","(73.0, 'Mg')",6.0
2220,Mg,Sn,0.09803921568627451,"(73.0, 'Mg')","(83.0, 'Sn')",10.0
2221,Sn,Mg,0.09803921568627451,"(83.0, 'Sn')","(73.0, 'Mg')",10.0
2222,Mg,Sb,0.17647058823529413,"(73.0, 'Mg')","(88.0, 'Sb')",15.0
